,chance of rain,temperature,humidity,wind speed,date,city,lat,lon
0,98,12,85,25,2017-11-07 07:00:00+00:00,Exeter,50.7184,-3.5339
0,0,10,78,25,2017-11-07 07:00:00+00:00,Truro,50.2632,-5.051
0,12,9,87,18,2017-11-07 07:00:00+00:00,Carmarthen,51.8576,-4.3121
0,0,10,80,23,2017-11-07 07:00:00+00:00,Norwich,52.6309,1.2974
0,24,11,83,23,2017-11-07 07:00:00+00:00,Brighton And Hove,50.8225,-0.1372
0,73,11,90,20,2017-11-07 07:00:00+00:00,Bristol,51.44999778,-2.583315472
0,94,10,86,20,2017-11-07 07:00:00+00:00,Durham,54.7753,-1.5849
0,99,7,90,14,2017-11-07 07:00:00+00:00,Llanidloes,52.4135,-3.5883
0,94,7,86,20,2017-11-07 07:00:00+00:00,Penrith,54.6641,-2.7527
0,91,7,85,9,2017-11-07 07:00:00+00:00,Jedburgh,55.4777,-2.5549
0,40,11,92,17,2017-11-07 07:00:00+00:00,Coventry,52.42040367,-1.499996583
0,0,8,80,15,2017-11-07 07:00:00+00:00,Edinburgh,55.94832786,-3.219090618
0,1,11,80,25,2017-11-07 07:00:00+00:00,Cambridge,52.2053,0.1218
0,1,8,77,15,2017-11-07 07:00:00+00:00,Glasgow,55.87440472,-4.250707236
0,7,11,84,28,2017-11-07 07:00:00+00:00,Kingston upon Hull,53.7457,-0.3367
0,63,9,91,19,2017-11-07 07:00:00+00:00,Leeds,53.83000755,-1.580017539
0,40,12,77,16,2017-11-07 07:00:00+00:00,London,51.49999473,-0.116721844
0,94,9,88,13,2017-11-07 07:00:00+00:00,Manchester,53.50041526,-2.247987103
0,40,11,88,22,2017-11-07 07:00:00+00:00,Nottingham,52.97034426,-1.170016725
0,96,6,88,14,2017-11-07 07:00:00+00:00,Aberdeen,57.1497,-2.0943
0,23,7,84,15,2017-11-07 07:00:00+00:00,Fort Augustus,57.1448,-4.6805
0,1,6,70,16,2017-11-07 07:00:00+00:00,Lairg,58.197,-4.6173
0,40,12,85,21,2017-11-07 07:00:00+00:00,Oxford,51.7517,-1.2553
0,0,4,91,34,2017-11-07 07:00:00+00:00,Inverey,56.9855,-3.5055
0,78,9,94,16,2017-11-07 07:00:00+00:00,Shrewsbury,52.7069,-2.7527
0,73,9,81,19,2017-11-07 07:00:00+00:00,Colwyn Bay,53.2932,-3.7276
0,5,8,78,15,2017-11-07 07:00:00+00:00,Newton Stewart,54.9186,-4.5918
0,60,12,87,23,2017-11-07 07:00:00+00:00,Portsmouth,50.80034751,-1.080022218
